Latitude,Longitude,X,Y,Address
26.543377,68.725312,11995,4808,"تعلقہ دوڑ, ضلع شہید بینظیر آباد, شہید بینظیر آباد ڈویژن, پاکستان"
15.97585,74.473111,12998,2825,"Mannikeri, Belagavi taluku, Belagavi, Karnataka, 591143, India"
29.357665,87.624285,15293,5364,"达居乡, 昂仁县 ངམ་རིང་རྫོང།, 日喀则市 གཞིས་ཀ་རྩེ་གྲོང་ཁྱེར།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
33.873207,70.521226,12308,6290,"Garibal, تحصیل لنڈی کوتل, ضلع خیبر, پشاور ڈویژن, خیبر پختونخوا, پاکستان"
20.235733,68.864119,12019,3608,Address not found
14.340501,82.655303,14426,2529,Address not found
8.769543,73.766292,12875,1537,Address not found
26.846649,83.803303,14626,4867,"Kasya, Kushinagar, Uttar Pradesh, India"
14.392778,85.088705,14851,2539,Address not found
31.473483,68.188464,11901,5792,"تحصیل کاکڑ خراسان, ضلع ژوب, ژوب ڈویژن, پاکستان"
31.368758,88.246042,15402,5771,"申扎镇, 申扎县 ཤན་རྩ་རྫོང།, 那曲市 ནག་ཆུ་ས་ཁུལ།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
17.867265,72.508905,12655,3170,Address not found
35.759179,77.761242,13572,6691,"叶城县 قاغىلىق ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 844900, 中国"
10.689629,70.804775,12358,1877,Address not found
32.577337,85.508055,14924,6020,"中仓乡, 尼玛县 ཉི་མ་རྫོང།, 那曲市 ནག་ཆུ་ས་ཁུལ།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
31.40672,89.162222,15562,5779,"雄梅镇, 申扎县 ཤན་རྩ་རྫོང།, 那曲市 ནག་ཆུ་ས་ཁུལ།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
23.550615,96.220357,16794,4231,"သပိတ်ကျင်း, သပိတ်ကျင်းခရိုင်, မန္တလေးတိုင်း, မြန်မာ"
18.977497,84.009178,14662,3374,"Serango, Gajapati, Odisha, India"
32.052735,85.937073,14999,5911,"阿索乡, 尼玛县 ཉི་མ་རྫོང།, 那曲市 ནག་ཆུ་ས་ཁུལ།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
32.9895,84.743212,14790,6105,"察布乡, 改则县 སྒེར་རྩེ་རྫོང་།, 阿里地区 མངའ་རིས་ས་ཁུལ་, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
28.432583,69.328907,12100,5180,"بخشاپور, تعلقہ کشمور, ضلع کشمور, پاکستان"
14.60905,76.392251,13333,2578,"Jyotipura, Jagaluru taluku, Davanagere, Karnataka, India"
10.313967,74.750936,13046,1810,Address not found
10.929041,76.061234,13275,1919,"Tirur, Malappuram, Kerala, 676553, India"
26.434849,78.580133,13715,4787,"Dhanoli, Mehgaon Tahsil, Bhind, Madhya Pradesh, India"
18.735248,74.075704,12929,3330,"Shirur, Pune, Maharashtra, India"
15.742357,95.162983,16609,2783,"Taun Yar (တောင်ယာ), ဘိုကလေးမြို့နယ်, ဖျာပုံခရိုင်, ဧရာဝတီတိုင်းဒေသကြီး, မြန်မာ"
26.793026,85.664799,14951,4857,"Parihar, Sitamarhi, Bihar, India"
12.963021,89.144677,15559,2282,Address not found
12.738672,79.004208,13789,2242,"Sarathankolai, Vellore, Tamil Nadu, India"
36.696177,86.559993,15108,6894,"库拉木勒克乡 قوراملىق يېزىسى, 且末县, 巴音郭楞蒙古自治州 بايىنغولىن موڭغۇل ئاپتونوم ئوبلاستى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
24.151543,87.853813,15333,4346,"Margram, Rampurhat - II, Birbhum, West Bengal, 731203, India"
32.442706,90.503997,15796,5992,"扎曲乡, 安多县 ཨ་མདོ་རྫོང།, 那曲市 ནག་ཆུ་ས་ཁུལ།, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
14.642394,68.930907,12031,2584,Address not found
17.148138,75.764485,13223,3039,"Sonakanahalli, Indi taluku, Vijayapura, Karnataka, 586117, India"
14.118502,95.344382,16641,2489,Address not found
33.414661,77.125659,13461,6194,"Salang Tatak, Zanskar, Ladakh, India"
27.007721,79.473325,13871,4899,"Saurikh, Chhibramau, Kannauj, Uttar Pradesh, India"
34.52188,81.306704,14191,6427,"东汝乡, 日土县 རུ་ཐོག་རྫོང་, 阿里地区 མངའ་རིས་ས་ཁུལ་, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
15.681525,75.152198,13117,2772,"Savadatti taluku, Belagavi, Karnataka, India"
24.279676,75.619507,13198,4370,"MD2204, Bardiya Amra, Khajuri Runda, Garoth Tahsil, Mandsaur, Madhya Pradesh, 458880, India"
24.952994,94.036864,16413,4500,"Uyumpok, Sawombung, Imphal East, Manipur, 795114, India"
19.582615,74.360302,12978,3486,"Sangamner, Ahmednagar, Maharashtra, India"
36.928591,82.776263,14447,6944,"民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
10.636373,69.366375,12107,1867,Address not found
11.179825,86.195935,15044,1964,Address not found
30.970302,80.242639,14005,5690,"达巴乡, 札达县 རྩ་མདའ་རྫོང་།, 阿里地区 མངའ་རིས་ས་ཁུལ་, 西藏自治区 བོད་རང་སྐྱོང་ལྗོངས།, 中国"
9.842303,79.066959,13800,1726,"Ettuseri, Marungur, Tiruvadanai, Ramanathapuram, Tamil Nadu, 623406, India"
36.88752,83.344316,14546,6935,"民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
36.161273,92.962611,16225,6778,"郭勒木德镇, 格尔木市 ན་གོར་མོ་གྲོང་ཁྱེར།, 海西蒙古族藏族自治州 མཚོ་ནུབ་སོག་རིགས་ཆ་བོད་རིགས་རང་སྐྱོང་ཁུལ།, 青海省, 中国"
